cyclone_id,timestamp,lat,lon,vmax,pres
BIPARJOY_2023,20230515_1800,20.48,68.31,98.7,942.1
BIPARJOY_2023,20230516_0000,20.88,68.39,93.3,945.9
BIPARJOY_2023,20230516_0600,21.22,68.47,87.1,950.3
BIPARJOY_2023,20230516_1200,21.62,68.57,80.6,951.9
BIPARJOY_2023,20230516_1800,21.92,68.69,76.1,956.2
BIPARJOY_2023,20230517_0000,22.3,68.79,71.5,960.1
BIPARJOY_2023,20230517_0600,22.66,68.9,66.9,965.5
BIPARJOY_2023,20230517_1200,22.99,69.02,62.6,965.9
BIPARJOY_2023,20230517_1800,23.36,69.19,55.5,971.7
TAUKTAE_2021,20230510_0000,11.02,72.9,41.9,981.7
TAUKTAE_2021,20230510_0600,11.5,72.92,48.3,979.0
TAUKTAE_2021,20230510_1200,11.96,72.85,55.8,973.1
TAUKTAE_2021,20230510_1800,12.47,72.81,62.8,965.6
TAUKTAE_2021,20230511_0000,12.95,72.82,70.5,961.6
TAUKTAE_2021,20230511_0600,13.5,72.78,76.9,957.7
TAUKTAE_2021,20230511_1200,14.08,72.71,82.9,952.9
TAUKTAE_2021,20230511_1800,14.56,72.64,89.4,948.5
TAUKTAE_2021,20230512_0000,15.07,72.56,93.7,944.4
TAUKTAE_2021,20230512_0600,15.54,72.47,102.3,937.4
TAUKTAE_2021,20230512_1200,16.01,72.42,108.5,937.1
TAUKTAE_2021,20230512_1800,16.46,72.39,115.9,926.4
TAUKTAE_2021,20230513_0000,16.9,72.35,120.7,922.3
TAUKTAE_2021,20230513_0600,17.4,72.33,116.1,928.5
TAUKTAE_2021,20230513_1200,17.87,72.33,110.9,936.1
TAUKTAE_2021,20230513_1800,18.38,72.26,105.5,937.4
TAUKTAE_2021,20230514_0000,18.89,72.25,100.2,938.6
TAUKTAE_2021,20230514_0600,19.36,72.29,95.8,942.1
TAUKTAE_2021,20230514_1200,19.89,72.29,91.0,944.0
TAUKTAE_2021,20230514_1800,20.44,72.24,85.7,949.3
TAUKTAE_2021,20230515_0000,20.81,72.1,81.0,954.4
TAUKTAE_2021,20230515_0600,21.3,72.04,73.4,959.5
TAUKTAE_2021,20230515_1200,21.77,72.02,68.2,963.3
TAUKTAE_2021,20230515_1800,22.23,71.91,61.7,969.0
HUDHUD_2014,20230510_0000,12.89,92.05,40.2,981.9
HUDHUD_2014,20230510_0600,13.28,91.59,46.7,977.4
HUDHUD_2014,20230510_1200,13.62,91.15,52.5,974.5
HUDHUD_2014,20230510_1800,13.98,90.73,58.4,972.5
HUDHUD_2014,20230511_0000,14.32,90.3,63.3,967.4
HUDHUD_2014,20230511_0600,14.71,89.83,70.4,962.7
HUDHUD_2014,20230511_1200,15.09,89.34,76.6,957.9
HUDHUD_2014,20230511_1800,15.47,88.95,84.9,951.3
HUDHUD_2014,20230512_0000,15.77,88.52,91.7,946.2
HUDHUD_2014,20230512_0600,16.15,88.04,99.5,939.4
HUDHUD_2014,20230512_1200,16.53,87.59,103.5,939.1
HUDHUD_2014,20230512_1800,16.89,87.16,109.4,935.1
HUDHUD_2014,20230513_0000,17.25,86.68,103.7,938.2
HUDHUD_2014,20230513_0600,17.64,86.19,99.0,939.3
HUDHUD_2014,20230513_1200,18.05,85.73,92.6,944.0
HUDHUD_2014,20230513_1800,18.39,85.25,88.6,946.0
HUDHUD_2014,20230514_0000,18.74,84.82,82.9,952.2
HUDHUD_2014,20230514_0600,19.21,84.36,77.6,957.4
HUDHUD_2014,20230514_1200,19.56,83.87,70.8,960.0
HUDHUD_2014,20230514_1800,19.91,83.38,66.5,964.4
HUDHUD_2014,20230515_0000,20.3,82.85,58.9,969.0
HUDHUD_2014,20230515_0600,20.66,82.42,53.1,973.9
VARDAH_2016,20230510_0000,11.39,90.39,36.8,984.9
VARDAH_2016,20230510_0600,11.63,89.82,45.7,978.4
VARDAH_2016,20230510_1200,11.8,89.26,53.3,975.9
VARDAH_2016,20230510_1800,12.0,88.73,61.4,967.8
VARDAH_2016,20230511_0000,12.22,88.22,70.3,961.0
VARDAH_2016,20230511_0600,12.47,87.72,76.9,957.2
VARDAH_2016,20230511_1200,12.62,87.19,82.3,950.5
VARDAH_2016,20230511_1800,12.84,86.59,90.3,946.5
VARDAH_2016,20230512_0000,13.04,86.08,98.3,939.7
VARDAH_2016,20230512_0600,13.21,85.53,104.8,937.7
VARDAH_2016,20230512_1200,13.32,85.0,111.0,931.9
VARDAH_2016,20230512_1800,13.52,84.5,106.7,938.3
VARDAH_2016,20230513_0000,13.68,83.91,100.7,938.9
VARDAH_2016,20230513_0600,13.84,83.33,95.7,941.2
VARDAH_2016,20230513_1200,14.11,82.82,89.8,948.3
VARDAH_2016,20230513_1800,14.29,82.23,84.1,951.7
VARDAH_2016,20230514_0000,14.43,81.6,78.4,953.7
VARDAH_2016,20230514_0600,14.61,81.08,74.3,958.7
VARDAH_2016,20230514_1200,14.77,80.52,68.5,961.1
VARDAH_2016,20230514_1800,14.98,79.88,63.0,970.5
TITLI_2018,20230510_0000,14.41,86.78,41.9,979.2
TITLI_2018,20230510_0600,14.88,86.62,49.7,978.1
TITLI_2018,20230510_1200,15.29,86.48,57.8,969.6
TITLI_2018,20230510_1800,15.75,86.28,64.3,966.0
TITLI_2018,20230511_0000,16.13,86.1,72.8,959.7
TITLI_2018,20230511_0600,16.58,86.01,80.9,953.8
TITLI_2018,20230511_1200,17.03,85.83,85.4,949.3
TITLI_2018,20230511_1800,17.39,85.8,90.2,943.6
TITLI_2018,20230512_0000,17.83,85.58,95.0,941.6
TITLI_2018,20230512_0600,18.2,85.46,99.9,940.8
TITLI_2018,20230512_1200,18.61,85.3,95.1,944.1
TITLI_2018,20230512_1800,19.02,85.18,89.3,948.4
TITLI_2018,20230513_0000,19.44,85.06,83.7,949.3
TITLI_2018,20230513_0600,19.8,84.92,77.5,957.0
TITLI_2018,20230513_1200,20.21,84.76,72.1,960.4
TITLI_2018,20230513_1800,20.61,84.63,67.0,962.9
TITLI_2018,20230514_0000,21.06,84.48,60.5,969.5
TITLI_2018,20230514_0600,21.45,84.25,53.2,971.9
YAAS_2021,20230510_0000,16.43,89.29,40.0,982.9
YAAS_2021,20230510_0600,16.87,89.09,45.2,978.7
YAAS_2021,20230510_1200,17.28,88.88,51.2,977.9
YAAS_2021,20230510_1800,17.75,88.61,59.1,969.1
YAAS_2021,20230511_0000,18.07,88.43,65.7,966.1
YAAS_2021,20230511_0600,18.56,88.25,74.1,958.1
YAAS_2021,20230511_1200,19.0,87.94,81.1,952.4
YAAS_2021,20230511_1800,19.41,87.73,88.9,948.3
YAAS_2021,20230512_0000,19.82,87.53,93.9,943.8
YAAS_2021,20230512_0600,20.21,87.38,98.7,941.7
YAAS_2021,20230512_1200,20.56,87.18,105.8,934.3
YAAS_2021,20230512_1800,20.97,86.94,101.1,941.1
YAAS_2021,20230513_0000,21.39,86.65,93.3,945.7
YAAS_2021,20230513_0600,21.83,86.44,87.6,948.5
YAAS_2021,20230513_1200,22.22,86.21,79.6,953.3
YAAS_2021,20230513_1800,22.65,85.96,74.8,957.9
YAAS_2021,20230514_0000,23.06,85.71,69.3,962.2
YAAS_2021,20230514_0600,23.52,85.46,64.8,964.4
YAAS_2021,20230514_1200,23.94,85.17,57.2,974.4
YAAS_2021,20230514_1800,24.33,84.88,50.9,972.3
GULAB_2021,20230510_0000,17.69,89.45,34.2,986.1
GULAB_2021,20230510_0600,17.84,88.91,41.8,981.4
GULAB_2021,20230510_1200,18.01,88.3,49.5,978.0
GULAB_2021,20230510_1800,18.11,87.74,58.4,969.6
GULAB_2021,20230511_0000,18.21,87.13,67.3,964.4
GULAB_2021,20230511_0600,18.35,86.53,75.6,957.6
GULAB_2021,20230511_1200,18.48,85.91,83.6,953.4
GULAB_2021,20230511_1800,18.67,85.35,91.1,945.2
GULAB_2021,20230512_0000,18.8,84.73,95.6,942.5
GULAB_2021,20230512_0600,18.97,84.2,90.9,947.2
GULAB_2021,20230512_1200,19.11,83.62,86.5,950.2
GULAB_2021,20230512_1800,19.27,82.98,82.1,953.8
GULAB_2021,20230513_0000,19.36,82.38,77.2,956.1
GULAB_2021,20230513_0600,19.56,81.79,69.9,959.0
GULAB_2021,20230513_1200,19.75,81.18,63.5,963.7
GULAB_2021,20230513_1800,19.93,80.6,56.9,970.7
MOCHA_2023,20230510_0000,11.44,88.23,39.2,983.0
MOCHA_2023,20230510_0600,11.95,88.52,46.9,979.4
MOCHA_2023,20230510_1200,12.46,88.75,54.1,971.5
MOCHA_2023,20230510_1800,12.91,88.99,62.9,967.0
MOCHA_2023,20230511_0000,13.45,89.23,68.2,964.0
MOCHA_2023,20230511_0600,14.02,89.51,76.3,955.3
MOCHA_2023,20230511_1200,14.53,89.78,82.4,952.8
MOCHA_2023,20230511_1800,15.04,90.03,87.7,947.8
MOCHA_2023,20230512_0000,15.57,90.23,94.2,945.3
MOCHA_2023,20230512_0600,16.1,90.49,99.9,936.6
MOCHA_2023,20230512_1200,16.63,90.73,108.2,933.0
MOCHA_2023,20230512_1800,17.09,90.98,117.0,929.4
MOCHA_2023,20230513_0000,17.6,91.22,124.3,921.9
MOCHA_2023,20230513_0600,18.1,91.52,129.0,918.5
MOCHA_2023,20230513_1200,18.6,91.82,122.6,923.9
MOCHA_2023,20230513_1800,19.16,92.06,118.6,927.8
MOCHA_2023,20230514_0000,19.69,92.31,111.8,929.5
MOCHA_2023,20230514_0600,20.15,92.49,106.6,936.0
MOCHA_2023,20230514_1200,20.77,92.74,102.4,937.7
MOCHA_2023,20230514_1800,21.24,93.06,95.0,943.5
MOCHA_2023,20230515_0000,21.69,93.29,89.9,947.9
MOCHA_2023,20230515_0600,22.25,93.55,83.1,948.8
MOCHA_2023,20230515_1200,22.78,93.73,77.0,957.2
MOCHA_2023,20230515_1800,23.31,93.96,70.7,962.7
MOCHA_2023,20230516_0000,23.81,94.17,65.9,964.1
MOCHA_2023,20230516_0600,24.32,94.41,59.3,969.8
NIVAR_2020,20230510_0000,10.23,83.25,37.6,985.4
NIVAR_2020,20230510_0600,10.42,82.92,41.8,980.5
NIVAR_2020,20230510_1200,10.64,82.64,47.3,978.3
NIVAR_2020,20230510_1800,10.88,82.32,56.0,971.7
NIVAR_2020,20230511_0000,11.19,82.08,61.7,966.0
NIVAR_2020,20230511_0600,11.44,81.78,68.1,963.4
NIVAR_2020,20230511_1200,11.7,81.43,73.1,960.3
NIVAR_2020,20230511_1800,11.93,81.18,78.8,954.8
NIVAR_2020,20230512_0000,12.14,80.81,83.7,952.2
NIVAR_2020,20230512_0600,12.32,80.58,89.8,947.4
NIVAR_2020,20230512_1200,12.58,80.28,81.9,953.7
NIVAR_2020,20230512_1800,12.84,79.99,75.2,958.2
NIVAR_2020,20230513_0000,13.11,79.71,67.9,963.2
NIVAR_2020,20230513_0600,13.36,79.36,61.1,969.8
NIVAR_2020,20230513_1200,13.55,79.04,54.2,972.9
NIVAR_2020,20230513_1800,13.81,78.8,48.7,978.5
NIVAR_2020,20230514_0000,14.03,78.5,42.8,982.0
NIVAR_2020,20230514_0600,14.26,78.12,38.8,982.3
BUREVI_2020,20230510_0000,8.11,83.63,37.8,984.7
BUREVI_2020,20230510_0600,8.22,83.22,42.3,980.5
BUREVI_2020,20230510_1200,8.31,82.81,51.3,975.3
BUREVI_2020,20230510_1800,8.38,82.35,55.8,974.6
BUREVI_2020,20230511_0000,8.49,81.88,60.0,970.1
BUREVI_2020,20230511_0600,8.7,81.48,68.2,963.4
BUREVI_2020,20230511_1200,8.75,81.06,76.8,956.4
BUREVI_2020,20230511_1800,8.89,80.66,83.6,953.6
BUREVI_2020,20230512_0000,9.02,80.28,91.0,945.3
BUREVI_2020,20230512_0600,9.16,79.9,98.1,941.2
BUREVI_2020,20230512_1200,9.35,79.37,92.0,948.5
BUREVI_2020,20230512_1800,9.5,79.01,84.2,952.3
BUREVI_2020,20230513_0000,9.64,78.59,78.4,957.0
BUREVI_2020,20230513_0600,9.86,78.21,71.1,958.2
BUREVI_2020,20230513_1200,10.01,77.75,66.5,964.5
BUREVI_2020,20230513_1800,10.23,77.37,60.4,970.3
BUREVI_2020,20230514_0000,10.42,76.94,53.3,976.5
BUREVI_2020,20230514_0600,10.54,76.52,48.3,974.6
NISARGA_2020,20230510_0000,14.5,71.62,36.7,986.4
NISARGA_2020,20230510_0600,14.91,71.79,42.2,982.3
NISARGA_2020,20230510_1200,15.39,71.93,47.5,977.8
NISARGA_2020,20230510_1800,15.85,72.08,51.9,977.2
NISARGA_2020,20230511_0000,16.24,72.2,60.1,967.3
NISARGA_2020,20230511_0600,16.63,72.31,65.1,963.7
NISARGA_2020,20230511_1200,17.11,72.38,71.3,959.5
NISARGA_2020,20230511_1800,17.58,72.59,76.4,957.2
NISARGA_2020,20230512_0000,18.08,72.69,80.5,951.8
NISARGA_2020,20230512_0600,18.55,72.84,86.9,947.7
NISARGA_2020,20230512_1200,18.97,72.94,79.1,953.9
NISARGA_2020,20230512_1800,19.37,73.18,72.5,959.3
NISARGA_2020,20230513_0000,19.89,73.36,67.1,965.9
NISARGA_2020,20230513_0600,20.37,73.55,60.9,967.5
NISARGA_2020,20230513_1200,20.86,73.7,53.9,971.6
NISARGA_2020,20230513_1800,21.29,73.87,48.4,980.1
NISARGA_2020,20230514_0000,21.74,74.0,40.8,981.0
NISARGA_2020,20230514_0600,22.18,74.16,33.3,988.1
VAYU_2019,20230510_0000,14.84,70.47,43.3,978.0
VAYU_2019,20230510_0600,15.21,70.39,48.1,976.9
VAYU_2019,20230510_1200,15.57,70.36,56.6,970.2
VAYU_2019,20230510_1800,15.96,70.28,61.9,965.8
VAYU_2019,20230511_0000,16.26,70.15,70.0,961.1
VAYU_2019,20230511_0600,16.62,70.01,78.2,953.1
VAYU_2019,20230511_1200,16.91,69.91,86.7,949.3
VAYU_2019,20230511_1800,17.25,69.85,94.3,943.4
VAYU_2019,20230512_0000,17.59,69.8,102.8,939.6
VAYU_2019,20230512_0600,17.96,69.75,109.2,933.5
VAYU_2019,20230512_1200,18.33,69.69,113.6,932.0
VAYU_2019,20230512_1800,18.67,69.63,117.7,927.5
VAYU_2019,20230513_0000,18.96,69.5,122.3,923.6
VAYU_2019,20230513_0600,19.28,69.39,118.0,925.8
VAYU_2019,20230513_1200,19.62,69.43,113.8,929.2
VAYU_2019,20230513_1800,19.98,69.42,108.7,934.6
VAYU_2019,20230514_0000,20.33,69.39,104.0,936.0
VAYU_2019,20230514_0600,20.67,69.28,98.1,941.9
VAYU_2019,20230514_1200,21.05,69.18,92.2,946.4
VAYU_2019,20230514_1800,21.41,69.12,86.2,947.4
VAYU_2019,20230515_0000,21.76,68.98,80.5,954.0
VAYU_2019,20230515_0600,22.08,68.91,73.3,957.3
VAYU_2019,20230515_1200,22.44,68.79,68.3,961.7
VAYU_2019,20230515_1800,22.81,68.7,62.4,966.6
BULBUL_2019,20230510_0000,13.43,89.03,43.2,982.6
BULBUL_2019,20230510_0600,13.92,89.1,47.8,976.2
BULBUL_2019,20230510_1200,14.44,89.13,56.5,969.9
BULBUL_2019,20230510_1800,14.9,89.22,64.3,966.6
BULBUL_2019,20230511_0000,15.37,89.27,68.6,962.1
BULBUL_2019,20230511_0600,15.85,89.3,75.6,957.0
BULBUL_2019,20230511_1200,16.28,89.36,81.2,951.2
BULBUL_2019,20230511_1800,16.72,89.39,87.9,950.4
BULBUL_2019,20230512_0000,17.14,89.41,93.4,945.7
BULBUL_2019,20230512_0600,17.56,89.49,98.5,941.0
BULBUL_2019,20230512_1200,18.04,89.53,102.5,938.6
BULBUL_2019,20230512_1800,18.52,89.62,107.5,936.4
BULBUL_2019,20230513_0000,18.92,89.65,99.8,938.7
BULBUL_2019,20230513_0600,19.31,89.67,95.3,944.6
BULBUL_2019,20230513_1200,19.74,89.77,88.3,947.1
BULBUL_2019,20230513_1800,20.21,89.81,81.9,954.0
BULBUL_2019,20230514_0000,20.61,89.85,77.3,954.8
BULBUL_2019,20230514_0600,21.05,89.91,70.3,959.7
BULBUL_2019,20230514_1200,21.43,89.87,65.3,963.2
BULBUL_2019,20230514_1800,21.89,89.88,58.9,969.9
BULBUL_2019,20230515_0000,22.36,89.89,52.5,976.0
BULBUL_2019,20230515_0600,22.71,89.96,44.9,979.4
